DATE;TIME;A22_temp_zaplonu
11/04/2016;7:00:00;40.5
12/30/2016;7:00:00;35.5
01/06/2017;7:00:00;40
01/13/2017;7:00:00;36
01/20/2017;7:00:00;34
01/27/2017;7:00:00;34.5
02/03/2017;7:00:00;36
02/17/2017;7:00:00;37
02/24/2017;7:00:00;41
03/03/2017;7:00:00;37
03/10/2017;7:00:00;36.5
03/17/2017;7:00:00;36.5
03/24/2017;7:00:00;35.5
03/29/2017;20:00:00;40
03/30/2017;1:00:00;40
03/30/2017;7:00:00;40
03/30/2017;10:30:00;43
03/31/2017;7:00:00;45.5
03/31/2017;23:30:00;40.5
03/31/2017;23:30:00;43
04/01/2017;8:30:00;42.5
04/04/2017;0:20:00;42.5
04/07/2017;7:00:00;32
04/21/2017;7:00:00;34
04/28/2017;7:00:00;29
05/05/2017;7:00:00;24
05/12/2017;7:00:00;31.5
05/19/2017;7:00:00;31.5
06/16/2017;7:00:00;35
06/23/2017;7:00:00;32.5
06/30/2017;7:00:00;36.5
07/07/2017;7:00:00;35.5
07/14/2017;7:00:00;37.5
07/21/2017;7:00:00;30
07/28/2017;7:00:00;28.5
08/11/2017;7:00:00;40
08/18/2017;7:00:00;41
08/25/2017;7:00:00;35
09/01/2017;7:00:00;36
09/08/2017;7:00:00;32.5
09/15/2017;7:00:00;32
09/22/2017;7:00:00;32.5
09/29/2017;7:00:00;34.5
10/06/2017;7:00:00;42
10/13/2017;7:00:00;42
10/20/2017;7:00:00;37.5
