DATE;TIME;FC0101R.PV
11/01/2016;00:00:00;217.460253039609
11/01/2016;01:00:00;216.902239887595
11/01/2016;02:00:00;217.183113022687
11/01/2016;03:00:00;217.010204972067
11/01/2016;04:00:00;217.072225278192
11/01/2016;05:00:00;217.1731383719
11/01/2016;06:00:00;217.293532008393
11/01/2016;07:00:00;215.739447479389
11/01/2016;08:00:00;216.852188792567
11/01/2016;09:00:00;216.965498255393
11/01/2016;10:00:00;216.471538772371
11/01/2016;11:00:00;217.332825179114
11/01/2016;12:00:00;216.546210455813
11/01/2016;13:00:00;216.352335055399
11/01/2016;14:00:00;216.456232347029
11/01/2016;15:00:00;215.807039545816
11/01/2016;16:00:00;216.561842800607
11/01/2016;17:00:00;216.304851428528
11/01/2016;18:00:00;216.585136567415
11/01/2016;19:00:00;215.920983082035
11/01/2016;20:00:00;216.141618485874
11/01/2016;21:00:00;216.122864364696
11/01/2016;22:00:00;215.915732650379
11/01/2016;23:00:00;216.488648942038
11/02/2016;00:00:00;216.030681957066
11/02/2016;01:00:00;217.057763473917
11/02/2016;02:00:00;217.159879871475
11/02/2016;03:00:00;216.465106187299
11/02/2016;04:00:00;215.874653439447
11/02/2016;05:00:00;216.520707218242
11/02/2016;06:00:00;216.35214076427
11/02/2016;07:00:00;215.942420541861
11/02/2016;08:00:00;216.402660741438
11/02/2016;09:00:00;215.930100940564
11/02/2016;10:00:00;215.69029348438
11/02/2016;11:00:00;215.700152569472
11/02/2016;12:00:00;215.534181763999
11/02/2016;13:00:00;215.304604576235
11/02/2016;14:00:00;214.733471999448
11/02/2016;15:00:00;215.285427919387
11/02/2016;16:00:00;215.439964874486
11/02/2016;17:00:00;214.956765020439
11/02/2016;18:00:00;215.426841210234
11/02/2016;19:00:00;215.641216184913
11/02/2016;20:00:00;214.857802987821
11/02/2016;21:00:00;215.601651597746
11/02/2016;22:00:00;215.26056110178
11/02/2016;23:00:00;215.606585277192
11/03/2016;00:00:00;215.77829398065
11/03/2016;01:00:00;215.336019315641
11/03/2016;02:00:00;215.317840677751
11/03/2016;03:00:00;215.239428926264
11/03/2016;04:00:00;215.116671592672
11/03/2016;05:00:00;215.169144114954
11/03/2016;06:00:00;215.360105049832
11/03/2016;07:00:00;215.397795044542
11/03/2016;08:00:00;215.09998475827
11/03/2016;09:00:00;215.145911347732
11/03/2016;10:00:00;215.801823844864
11/03/2016;11:00:00;215.824401637858
11/03/2016;12:00:00;214.417915382805
11/03/2016;13:00:00;212.665975713436
11/03/2016;14:00:00;212.431517997282
11/03/2016;15:00:00;212.822483225228
11/03/2016;16:00:00;212.568641769475
11/03/2016;17:00:00;212.865075474946
11/03/2016;18:00:00;212.731772727189
11/03/2016;19:00:00;213.16384772767
11/03/2016;20:00:00;213.16917736568
11/03/2016;21:00:00;212.841590113483
11/03/2016;22:00:00;213.170076667589
11/03/2016;23:00:00;213.7927992926
11/04/2016;00:00:00;213.423623004521
11/04/2016;01:00:00;212.386245213884
11/04/2016;02:00:00;212.900903192457
11/04/2016;03:00:00;213.017116515118
11/04/2016;04:00:00;212.668555555807
11/04/2016;05:00:00;212.818723382327
11/04/2016;06:00:00;212.34166036949
11/04/2016;07:00:00;212.826487253716
11/04/2016;08:00:00;212.622986495742
11/04/2016;09:00:00;212.942300635337
11/04/2016;10:00:00;212.658561090946
11/04/2016;11:00:00;213.246887838683
11/04/2016;12:00:00;212.407435583902
11/04/2016;13:00:00;212.325660802141
11/04/2016;14:00:00;213.139022683785
11/04/2016;15:00:00;212.793522547916
11/04/2016;16:00:00;212.562322469565
11/04/2016;17:00:00;212.525420074889
11/04/2016;18:00:00;212.65749672677
11/04/2016;19:00:00;212.545096410069
11/04/2016;20:00:00;212.801520964148
11/04/2016;21:00:00;212.831193938907
11/04/2016;22:00:00;212.651766744172
11/04/2016;23:00:00;212.398191825145
11/05/2016;00:00:00;213.027689182328
11/05/2016;01:00:00;212.60495463386
11/05/2016;02:00:00;212.743823846916
11/05/2016;03:00:00;212.990763794517
11/05/2016;04:00:00;213.694512121984
11/05/2016;05:00:00;212.926226308669
11/05/2016;06:00:00;212.91895262294
11/05/2016;07:00:00;212.619038632936
11/05/2016;08:00:00;213.573169631237
11/05/2016;09:00:00;212.927985707336
11/05/2016;10:00:00;212.507389812514
11/05/2016;11:00:00;213.092497869865
11/05/2016;12:00:00;212.686543656598
11/05/2016;13:00:00;212.86475638697
11/05/2016;14:00:00;212.791543879554
11/05/2016;15:00:00;212.39844949533
11/05/2016;16:00:00;212.519754931684
11/05/2016;17:00:00;212.591180729427
11/05/2016;18:00:00;213.000265462791
11/05/2016;19:00:00;211.371298920273
11/05/2016;20:00:00;212.424006130933
11/05/2016;21:00:00;212.302955502722
11/05/2016;22:00:00;211.915737985317
11/05/2016;23:00:00;212.583998054098
11/06/2016;00:00:00;212.500961391338
11/06/2016;01:00:00;212.243408039664
11/06/2016;02:00:00;212.329391524322
11/06/2016;03:00:00;212.005388298035
11/06/2016;04:00:00;211.963882560907
11/06/2016;05:00:00;211.136902744455
11/06/2016;06:00:00;212.888334934447
11/06/2016;07:00:00;212.531844068076
11/06/2016;08:00:00;212.089980849607
11/06/2016;09:00:00;211.968714932719
11/06/2016;10:00:00;211.970540269625
11/06/2016;11:00:00;212.342073099721
11/06/2016;12:00:00;211.940392004554
11/06/2016;13:00:00;212.48265799818
11/06/2016;14:00:00;213.135344815501
11/06/2016;15:00:00;212.204658276559
11/06/2016;16:00:00;211.782399550475
11/06/2016;17:00:00;212.778533281674
11/06/2016;18:00:00;212.582036688758
11/06/2016;19:00:00;212.883105369008
11/06/2016;20:00:00;212.684735371226
11/06/2016;21:00:00;212.451760383925
11/06/2016;22:00:00;212.035262613348
11/06/2016;23:00:00;212.660614817481
11/07/2016;00:00:00;212.281674049697
11/07/2016;01:00:00;212.476113460186
11/07/2016;02:00:00;212.2918951535
11/07/2016;03:00:00;211.863979244948
11/07/2016;04:00:00;212.032871518368
11/07/2016;05:00:00;212.586817630222
11/07/2016;06:00:00;212.456339674112
11/07/2016;07:00:00;212.647967346391
11/07/2016;08:00:00;211.820055508958
11/07/2016;09:00:00;211.924758610539
11/07/2016;10:00:00;212.576757868388
11/07/2016;11:00:00;212.024971287033
11/07/2016;12:00:00;212.371232838235
11/07/2016;13:00:00;211.525770929251
11/07/2016;14:00:00;212.108225827107
11/07/2016;15:00:00;212.439327579435
11/07/2016;16:00:00;211.482834956796
11/07/2016;17:00:00;212.599991998247
11/07/2016;18:00:00;212.425811634227
11/07/2016;19:00:00;212.142085308641
11/07/2016;20:00:00;211.723243400691
11/07/2016;21:00:00;211.768862428207
11/07/2016;22:00:00;201.104414035699
11/07/2016;23:00:00;184.405078837175
11/08/2016;00:00:00;167.06633046489
11/08/2016;01:00:00;159.368228270545
11/08/2016;02:00:00;132.163489957002
11/08/2016;03:00:00;70.2209608149068
11/08/2016;04:00:00;65.858155840752
11/08/2016;05:00:00;2.48786240065496
11/08/2016;06:00:00;0.623116053662001
11/08/2016;07:00:00;0.0333179538545656
11/08/2016;08:00:00;0.0318863780930175
11/08/2016;09:00:00;0.0304548023314694
11/08/2016;10:00:00;0.0290232265699214
11/08/2016;11:00:00;0.0275916508083733
11/08/2016;12:00:00;0.0261600750468252
11/08/2016;13:00:00;0.0247284992852771
11/08/2016;14:00:00;0.0232969235237291
11/08/2016;15:00:00;0.021865347762181
11/08/2016;16:00:00;0.0204337720006329
11/08/2016;17:00:00;0.0190021962390848
11/08/2016;18:00:00;0.0175706204775368
11/08/2016;19:00:00;0.0161390447159887
11/08/2016;20:00:00;0.0147074689544406
11/08/2016;21:00:00;0.0132758931928925
11/08/2016;22:00:00;0.0118443174313444
11/08/2016;23:00:00;0.0104127416697964
11/09/2016;00:00:00;0.00898116590824828
11/09/2016;01:00:00;0.00754959014670021
11/09/2016;02:00:00;0.00611801438515213
11/09/2016;03:00:00;0.00468643862360405
11/09/2016;04:00:00;0.00325486286205597
11/09/2016;05:00:00;0.00182328710050789
11/09/2016;06:00:00;0.00042845159587731
11/09/2016;07:00:00;1.65662094983323E-06
11/09/2016;08:00:00;3.93728210751671E-06
11/09/2016;09:00:00;6.21794326520018E-06
11/09/2016;10:00:00;0.0148108062218826
11/09/2016;11:00:00;0.036169900441413
11/09/2016;12:00:00;0.0754157567548877
11/09/2016;13:00:00;0.0849363884563317
11/09/2016;14:00:00;0.0777255058844821
11/09/2016;15:00:00;0.0878753499811797
11/09/2016;16:00:00;0.0898947340652492
11/09/2016;17:00:00;0.0219413598028231
11/09/2016;18:00:00;0.0691120454473003
11/09/2016;19:00:00;0.0129651684401594
11/09/2016;20:00:00;0.00386175866023568
11/09/2016;21:00:00;0.0660362127169516
11/09/2016;22:00:00;0.0298675776724312
11/09/2016;23:00:00;0.0342926527686106
11/10/2016;00:00:00;0.0535502086072375
11/10/2016;01:00:00;0.0512117870271473
11/10/2016;02:00:00;0.0108935222734834
11/10/2016;03:00:00;0.0114384821245931
11/10/2016;04:00:00;0.00155727774093844
11/10/2016;05:00:00;0.00981376492405325
11/10/2016;06:00:00;0.0277849574844127
11/10/2016;07:00:00;0.0221499866525215
11/10/2016;08:00:00;0.0252947834302019
11/10/2016;09:00:00;0.00622708336973887
11/10/2016;10:00:00;0.120434431835616
11/10/2016;11:00:00;0.0254533358785087
11/10/2016;12:00:00;0.025060880097219
11/10/2016;13:00:00;0.129960177568902
11/10/2016;14:00:00;0.0547592885352057
11/10/2016;15:00:00;0.00893366440433057
11/10/2016;16:00:00;0.0183370505643443
11/10/2016;17:00:00;0.00330717346737682
11/10/2016;18:00:00;0.0227933299755991
11/10/2016;19:00:00;0.000147866762645332
11/10/2016;20:00:00;0.0274101147021733
11/10/2016;21:00:00;0.0460422714329865
11/10/2016;22:00:00;0.0994657302457187
11/10/2016;23:00:00;0.633700805932552
11/11/2016;00:00:00;0.727764403902392
11/11/2016;01:00:00;0.40930169683196
11/11/2016;02:00:00;0.707202181004191
11/11/2016;03:00:00;0.348195058047702
11/11/2016;04:00:00;0.595661507098949
11/11/2016;05:00:00;1.2019661369162
11/11/2016;06:00:00;0.19078071749554
11/11/2016;07:00:00;1.27822091618496
11/11/2016;08:00:00;1.92624231158618
11/11/2016;09:00:00;2.07480778468441
11/11/2016;10:00:00;1.14221399282162
11/11/2016;11:00:00;1.82959887835529
11/11/2016;12:00:00;1.25490853187911
11/11/2016;13:00:00;3.36666645416637
11/11/2016;14:00:00;2.81846495980611
