DATE;TIME;PC0616.PV
11/01/2016;00:00:00;638.422495115181
11/01/2016;01:00:00;629.915105275217
11/01/2016;02:00:00;621.232186776868
11/01/2016;03:00:00;618.012278873162
11/01/2016;04:00:00;611.7647031061
11/01/2016;05:00:00;604.232098417956
11/01/2016;06:00:00;587.248194762032
11/01/2016;07:00:00;581.699640660852
11/01/2016;08:00:00;580.234489132734
11/01/2016;09:00:00;577.622843767715
11/01/2016;10:00:00;579.366718602769
11/01/2016;11:00:00;577.563074161454
11/01/2016;12:00:00;570.15565548943
11/01/2016;13:00:00;571.470242379669
11/01/2016;14:00:00;577.728952675559
11/01/2016;15:00:00;588.621628179008
11/01/2016;16:00:00;598.048537999245
11/01/2016;17:00:00;604.309547597023
11/01/2016;18:00:00;610.684916699148
11/01/2016;19:00:00;611.151017036293
11/01/2016;20:00:00;607.049386525408
11/01/2016;21:00:00;608.170527457147
11/01/2016;22:00:00;608.979060637245
11/01/2016;23:00:00;609.718580549503
11/02/2016;00:00:00;614.908524288728
11/02/2016;01:00:00;617.827936427671
11/02/2016;02:00:00;621.458875504462
11/02/2016;03:00:00;620.688923903857
11/02/2016;04:00:00;608.22375246485
11/02/2016;05:00:00;601.889903987523
11/02/2016;06:00:00;604.59332003384
11/02/2016;07:00:00;604.926728183101
11/02/2016;08:00:00;600.871417611708
11/02/2016;09:00:00;592.137652745436
11/02/2016;10:00:00;588.151940811262
11/02/2016;11:00:00;585.405331446145
11/02/2016;12:00:00;584.703146208649
11/02/2016;13:00:00;584.55901768667
11/02/2016;14:00:00;580.74496317805
11/02/2016;15:00:00;585.718456994628
11/02/2016;16:00:00;592.372380163328
11/02/2016;17:00:00;599.58590702188
11/02/2016;18:00:00;603.323751308858
11/02/2016;19:00:00;607.357226517514
11/02/2016;20:00:00;606.388484624572
11/02/2016;21:00:00;602.262289821287
11/02/2016;22:00:00;595.590281507987
11/02/2016;23:00:00;586.397813741674
11/03/2016;00:00:00;579.156514954824
11/03/2016;01:00:00;576.043175767873
11/03/2016;02:00:00;571.317681098114
11/03/2016;03:00:00;569.638787721253
11/03/2016;04:00:00;566.578111676787
11/03/2016;05:00:00;569.609830561628
11/03/2016;06:00:00;577.522206617693
11/03/2016;07:00:00;585.020920693579
11/03/2016;08:00:00;588.689806953677
11/03/2016;09:00:00;591.176164162194
11/03/2016;10:00:00;595.378514879104
11/03/2016;11:00:00;598.950964138427
11/03/2016;12:00:00;597.448147077277
11/03/2016;13:00:00;598.127081850492
11/03/2016;14:00:00;601.243885700782
11/03/2016;15:00:00;603.430562406729
11/03/2016;16:00:00;606.88541962354
11/03/2016;17:00:00;612.009348813566
11/03/2016;18:00:00;616.578926978214
11/03/2016;19:00:00;621.657924093091
11/03/2016;20:00:00;625.97971751882
11/03/2016;21:00:00;628.172753370703
11/03/2016;22:00:00;627.310859247164
11/03/2016;23:00:00;625.535273323923
11/04/2016;00:00:00;624.762862190647
11/04/2016;01:00:00;626.454650517615
11/04/2016;02:00:00;626.910316410932
11/04/2016;03:00:00;628.413637603932
11/04/2016;04:00:00;634.350756629555
11/04/2016;05:00:00;635.615617254752
11/04/2016;06:00:00;632.476856758874
11/04/2016;07:00:00;622.553650538523
11/04/2016;08:00:00;615.590352631416
11/04/2016;09:00:00;605.650949598519
11/04/2016;10:00:00;598.437683554056
11/04/2016;11:00:00;593.579312198948
11/04/2016;12:00:00;606.342633011605
11/04/2016;13:00:00;617.170442274855
11/04/2016;14:00:00;609.793781084999
11/04/2016;15:00:00;603.475285292788
11/04/2016;16:00:00;596.723824663736
11/04/2016;17:00:00;592.915176453046
11/04/2016;18:00:00;591.763903249138
11/04/2016;19:00:00;592.503260994326
11/04/2016;20:00:00;593.045873540503
11/04/2016;21:00:00;592.997510135924
11/04/2016;22:00:00;598.259378329599
11/04/2016;23:00:00;596.90600884123
11/05/2016;00:00:00;595.195631227481
11/05/2016;01:00:00;599.10808161785
11/05/2016;02:00:00;605.742694229971
11/05/2016;03:00:00;628.550614748327
11/05/2016;04:00:00;628.288582593495
11/05/2016;05:00:00;627.797749827427
11/05/2016;06:00:00;633.378547961285
11/05/2016;07:00:00;621.412939383814
11/05/2016;08:00:00;611.163733238117
11/05/2016;09:00:00;619.789199086709
11/05/2016;10:00:00;625.025914257772
11/05/2016;11:00:00;627.009445690289
11/05/2016;12:00:00;628.419225222239
11/05/2016;13:00:00;622.367973624962
11/05/2016;14:00:00;609.842873349586
11/05/2016;15:00:00;610.584788713208
11/05/2016;16:00:00;610.154844288511
11/05/2016;17:00:00;606.684159328396
11/05/2016;18:00:00;607.314305872895
11/05/2016;19:00:00;607.080105139728
11/05/2016;20:00:00;609.034751053307
11/05/2016;21:00:00;611.132393162565
11/05/2016;22:00:00;609.331223194029
11/05/2016;23:00:00;606.32643183307
11/06/2016;00:00:00;617.577261194822
11/06/2016;01:00:00;609.529787499785
11/06/2016;02:00:00;598.489213124698
11/06/2016;03:00:00;608.33463965189
11/06/2016;04:00:00;620.922245421455
11/06/2016;05:00:00;626.668551616251
11/06/2016;06:00:00;630.736375328883
11/06/2016;07:00:00;637.004377667404
11/06/2016;08:00:00;160.889004728333
11/06/2016;09:00:00;4.9632449445119
11/06/2016;10:00:00;4.76916183174992
11/06/2016;11:00:00;5.10508907077439
11/06/2016;12:00:00;5.23792590466344
11/06/2016;13:00:00;5.10659873679342
11/06/2016;14:00:00;4.97527156892339
11/06/2016;15:00:00;4.86026324039449
11/06/2016;16:00:00;4.89130349905517
11/06/2016;17:00:00;5.20749497315872
11/06/2016;18:00:00;5.49078376922998
11/06/2016;19:00:00;5.60324367181728
11/06/2016;20:00:00;5.70907443416164
11/06/2016;21:00:00;5.814905196506
11/06/2016;22:00:00;5.92073595885035
11/06/2016;23:00:00;6.02656672119471
11/07/2016;00:00:00;6.06307275846295
11/07/2016;01:00:00;5.98536029308148
11/07/2016;02:00:00;5.90596449724157
11/07/2016;03:00:00;5.82656870140166
11/07/2016;04:00:00;5.86919811751076
11/07/2016;05:00:00;6.07174871790539
11/07/2016;06:00:00;6.27500763589042
11/07/2016;07:00:00;6.36521750070045
11/07/2016;08:00:00;6.26197480233836
11/07/2016;09:00:00;6.15544434987711
11/07/2016;10:00:00;6.04891389741586
11/07/2016;11:00:00;5.98779884529539
11/07/2016;12:00:00;6.56570717472103
11/07/2016;13:00:00;7.80266416078099
11/07/2016;14:00:00;8.79105251064029
11/07/2016;15:00:00;9.67056787720644
11/07/2016;16:00:00;10.7038132745357
11/07/2016;17:00:00;13.4787358421129
11/07/2016;18:00:00;16.9999697410593
