DATE;TIME;PCS0210_SP.PV
11/01/2016;00:00:00;-87.6498801484809
11/01/2016;01:00:00;-86.9022087477019
11/01/2016;02:00:00;-86.8178257637594
11/01/2016;03:00:00;-84.0792701235204
11/01/2016;04:00:00;-83.9791580316933
11/01/2016;05:00:00;-87.6303458319406
11/01/2016;06:00:00;-82.572656109555
11/01/2016;07:00:00;-83.8151037224844
11/01/2016;08:00:00;-84.291698754754
11/01/2016;09:00:00;-83.4997132938412
11/01/2016;10:00:00;-83.4733040596786
11/01/2016;11:00:00;-81.9874743468201
11/01/2016;12:00:00;-80.7681093546048
11/01/2016;13:00:00;-81.131202331405
11/01/2016;14:00:00;-81.3145692870646
11/01/2016;15:00:00;-83.0376114310079
11/01/2016;16:00:00;-82.7398837220841
11/01/2016;17:00:00;-83.8782266058193
11/01/2016;18:00:00;-83.5247850946525
11/01/2016;19:00:00;-90.2562319860431
11/01/2016;20:00:00;-87.3439142032169
11/01/2016;21:00:00;-86.4823823873993
11/01/2016;22:00:00;-86.7804719844542
11/01/2016;23:00:00;-83.1980007854041
11/02/2016;00:00:00;-81.1383477728993
11/02/2016;01:00:00;-79.0096939042774
11/02/2016;02:00:00;-78.4798637141025
11/02/2016;03:00:00;-81.081280547411
11/02/2016;04:00:00;-83.5743909775743
11/02/2016;05:00:00;-83.208490290357
11/02/2016;06:00:00;-86.4139049405049
11/02/2016;07:00:00;-87.3763469722407
11/02/2016;08:00:00;-91.0562786141457
11/02/2016;09:00:00;-87.8172593311496
11/02/2016;10:00:00;-95.7828374260068
11/02/2016;11:00:00;-95.4613199591702
11/02/2016;12:00:00;-95.5996581705372
11/02/2016;13:00:00;-93.6041603406941
11/02/2016;14:00:00;-96.2486958887368
11/02/2016;15:00:00;-96.3734807338023
11/02/2016;16:00:00;-90.6009470786589
11/02/2016;17:00:00;-90.0626952850276
11/02/2016;18:00:00;-87.8208572141904
11/02/2016;19:00:00;-90.2908369283037
11/02/2016;20:00:00;-90.1706852103697
11/02/2016;21:00:00;-87.0212118685161
11/02/2016;22:00:00;-89.5171665443852
11/02/2016;23:00:00;-91.9961527072044
11/03/2016;00:00:00;-92.5936584485611
11/03/2016;01:00:00;-92.2846612401505
11/03/2016;02:00:00;-92.9106904237532
11/03/2016;03:00:00;-96.0590335894063
11/03/2016;04:00:00;-94.1590988492864
