DATE;TIME;TC0151_SP.PV
11/01/2016;00:00:00;233.681647921203
11/01/2016;01:00:00;233.668181022835
11/01/2016;02:00:00;233.894692550932
11/01/2016;03:00:00;233.671660760737
11/01/2016;04:00:00;233.655954098367
11/01/2016;05:00:00;234.342428887567
11/01/2016;06:00:00;233.761978444615
11/01/2016;07:00:00;232.509689757311
11/01/2016;08:00:00;233.735652114092
11/01/2016;09:00:00;233.100039802588
11/01/2016;10:00:00;233.37809439398
11/01/2016;11:00:00;234.218260519488
11/01/2016;12:00:00;232.767621655513
11/01/2016;13:00:00;233.242083034184
11/01/2016;14:00:00;232.830071340599
11/01/2016;15:00:00;232.307572774705
11/01/2016;16:00:00;232.530489795142
11/01/2016;17:00:00;232.470780685562
11/01/2016;18:00:00;232.210851660967
11/01/2016;19:00:00;231.708448054543
11/01/2016;20:00:00;231.806217965946
11/01/2016;21:00:00;231.78700874452
11/01/2016;22:00:00;231.525608773006
11/01/2016;23:00:00;232.030471771919
11/02/2016;00:00:00;232.630561404479
11/02/2016;01:00:00;234.008118946559
11/02/2016;02:00:00;233.012619881925
11/02/2016;03:00:00;232.790263454921
11/02/2016;04:00:00;232.425645669106
11/02/2016;05:00:00;233.039179004102
11/02/2016;06:00:00;232.749538696767
11/02/2016;07:00:00;232.845875987371
11/02/2016;08:00:00;232.688874754725
11/02/2016;09:00:00;231.966164395015
11/02/2016;10:00:00;231.917860305772
11/02/2016;11:00:00;231.748552171985
11/02/2016;12:00:00;232.431076172012
11/02/2016;13:00:00;232.097778892225
11/02/2016;14:00:00;231.87297231865
11/02/2016;15:00:00;232.811354534931
11/02/2016;16:00:00;232.5463485004
11/02/2016;17:00:00;233.689580463806
11/02/2016;18:00:00;233.478386135064
11/02/2016;19:00:00;232.199606382983
11/02/2016;20:00:00;231.731380819813
11/02/2016;21:00:00;233.154087489617
11/02/2016;22:00:00;232.931880248159
11/02/2016;23:00:00;233.506875758619
11/03/2016;00:00:00;232.680810800501
11/03/2016;01:00:00;232.535363180382
11/03/2016;02:00:00;232.638336390577
11/03/2016;03:00:00;233.011199159509
11/03/2016;04:00:00;232.678035404048
11/03/2016;05:00:00;232.746145981579
11/03/2016;06:00:00;233.00356623598
11/03/2016;07:00:00;233.118142374358
11/03/2016;08:00:00;232.970728823202
