DATE;TIME;TC0357SP.PV
11/01/2016;00:00:00;387
11/01/2016;01:00:00;387
11/01/2016;02:00:00;387
11/01/2016;03:00:00;387
11/01/2016;04:00:00;387
11/01/2016;05:00:00;387
11/01/2016;06:00:00;387
11/01/2016;07:00:00;387
11/01/2016;08:00:00;387
11/01/2016;09:00:00;387
11/01/2016;10:00:00;387
11/01/2016;11:00:00;387
11/01/2016;12:00:00;387
11/01/2016;13:00:00;387
11/01/2016;14:00:00;387
11/01/2016;15:00:00;387
11/01/2016;16:00:00;387
11/01/2016;17:00:00;387
11/01/2016;18:00:00;387
11/01/2016;19:00:00;387
11/01/2016;20:00:00;387
11/01/2016;21:00:00;387
11/01/2016;22:00:00;387
11/01/2016;23:00:00;387
11/02/2016;00:00:00;387
11/02/2016;01:00:00;387
11/02/2016;02:00:00;387
11/02/2016;03:00:00;387
11/02/2016;04:00:00;387
11/02/2016;05:00:00;387
11/02/2016;06:00:00;387
11/02/2016;07:00:00;387
11/02/2016;08:00:00;387
11/02/2016;09:00:00;387
11/02/2016;10:00:00;387
11/02/2016;11:00:00;387
11/02/2016;12:00:00;387
11/02/2016;13:00:00;387
11/02/2016;14:00:00;387
11/02/2016;15:00:00;387
11/02/2016;16:00:00;387
11/02/2016;17:00:00;387
11/02/2016;18:00:00;387
11/02/2016;19:00:00;387
11/02/2016;20:00:00;387
11/02/2016;21:00:00;387
11/02/2016;22:00:00;387
11/02/2016;23:00:00;387
11/03/2016;00:00:00;387
11/03/2016;01:00:00;387
11/03/2016;02:00:00;387
11/03/2016;03:00:00;387
11/03/2016;04:00:00;387
11/03/2016;05:00:00;387
11/03/2016;06:00:00;387
11/03/2016;07:00:00;387
11/03/2016;08:00:00;387
11/03/2016;09:00:00;387
11/03/2016;10:00:00;387
11/03/2016;11:00:00;387
11/03/2016;12:00:00;387
11/03/2016;13:00:00;387
11/03/2016;14:00:00;387
11/03/2016;15:00:00;387
11/03/2016;16:00:00;387
11/03/2016;17:00:00;387
11/03/2016;18:00:00;387
11/03/2016;19:00:00;387
11/03/2016;20:00:00;387
11/03/2016;21:00:00;387
11/03/2016;22:00:00;387
11/03/2016;23:00:00;387
11/04/2016;00:00:00;387
11/04/2016;01:00:00;387
11/04/2016;02:00:00;387
11/04/2016;03:00:00;387
11/04/2016;04:00:00;387
11/04/2016;05:00:00;387
11/04/2016;06:00:00;387
11/04/2016;07:00:00;387
11/04/2016;08:00:00;387
11/04/2016;09:00:00;387
11/04/2016;10:00:00;387
11/04/2016;11:00:00;387
11/04/2016;12:00:00;387
11/04/2016;13:00:00;387
11/04/2016;14:00:00;387
11/04/2016;15:00:00;387
11/04/2016;16:00:00;387
11/04/2016;17:00:00;387
11/04/2016;18:00:00;387
11/04/2016;19:00:00;387
11/04/2016;20:00:00;387
11/04/2016;21:00:00;387
11/04/2016;22:00:00;387
11/04/2016;23:00:00;387
11/05/2016;00:00:00;387
11/05/2016;01:00:00;387
11/05/2016;02:00:00;387
11/05/2016;03:00:00;387
11/05/2016;04:00:00;387
11/05/2016;05:00:00;387
11/05/2016;06:00:00;387
11/05/2016;07:00:00;387
11/05/2016;08:00:00;387
11/05/2016;09:00:00;387
11/05/2016;10:00:00;387
11/05/2016;11:00:00;387
11/05/2016;12:00:00;387
11/05/2016;13:00:00;387
11/05/2016;14:00:00;387
11/05/2016;15:00:00;387
11/05/2016;16:00:00;387
11/05/2016;17:00:00;387
11/05/2016;18:00:00;387
11/05/2016;19:00:00;387
11/05/2016;20:00:00;387
11/05/2016;21:00:00;387
11/05/2016;22:00:00;387
11/05/2016;23:00:00;387
11/06/2016;00:00:00;387
11/06/2016;01:00:00;387
11/06/2016;02:00:00;387
11/06/2016;03:00:00;387
11/06/2016;04:00:00;387
11/06/2016;05:00:00;387
11/06/2016;06:00:00;387
11/06/2016;07:00:00;387
11/06/2016;08:00:00;387
11/06/2016;09:00:00;387
11/06/2016;10:00:00;387
11/06/2016;11:00:00;387
11/06/2016;12:00:00;387
11/06/2016;13:00:00;387
11/06/2016;14:00:00;387
11/06/2016;15:00:00;387
11/06/2016;16:00:00;387
11/06/2016;17:00:00;387
11/06/2016;18:00:00;387
11/06/2016;19:00:00;387
11/06/2016;20:00:00;387
11/06/2016;21:00:00;387
11/06/2016;22:00:00;387
11/06/2016;23:00:00;387
11/07/2016;00:00:00;387
11/07/2016;01:00:00;387
11/07/2016;02:00:00;387
11/07/2016;03:00:00;387
11/07/2016;04:00:00;387
11/07/2016;05:00:00;387
11/07/2016;06:00:00;387
11/07/2016;07:00:00;387
11/07/2016;08:00:00;387
11/07/2016;09:00:00;387
11/07/2016;10:00:00;387
11/07/2016;11:00:00;387
11/07/2016;12:00:00;387
11/07/2016;13:00:00;387
11/07/2016;14:00:00;387
11/07/2016;15:00:00;387
11/07/2016;16:00:00;387
11/07/2016;17:00:00;387
11/07/2016;18:00:00;387
11/07/2016;19:00:00;387
11/07/2016;20:00:00;387
11/07/2016;21:00:00;387
11/07/2016;22:00:00;386.304094725715
11/07/2016;23:00:00;385.974760555691
11/08/2016;00:00:00;372.728849542418
11/08/2016;01:00:00;341.699727021112
11/08/2016;02:00:00;289.177330161481
11/08/2016;03:00:00;255.986798333075
11/08/2016;04:00:00;257.329698142569
11/08/2016;05:00:00;249.077875247643
11/08/2016;06:00:00;223.371530256284
11/08/2016;07:00:00;198.645045657303
11/08/2016;08:00:00;172.036373575486
11/08/2016;09:00:00;145.162554760543
11/08/2016;10:00:00;124.256246771108
11/08/2016;11:00:00;117.516368555917
11/08/2016;12:00:00;117.578021442628
11/08/2016;13:00:00;118.034648067194
11/08/2016;14:00:00;130.153194775153
11/08/2016;15:00:00;157.55831107351
11/08/2016;16:00:00;179.119757503952
11/08/2016;17:00:00;203.245932420739
11/08/2016;18:00:00;208.830545710339
11/08/2016;19:00:00;212.777560410295
11/08/2016;20:00:00;210.527538066097
11/08/2016;21:00:00;222.893886411395
11/08/2016;22:00:00;238.113590248805
11/08/2016;23:00:00;248.302270019582
11/09/2016;00:00:00;254.364908185361
11/09/2016;01:00:00;258.338401200689
11/09/2016;02:00:00;260.877555991248
11/09/2016;03:00:00;261.239921415786
11/09/2016;04:00:00;262.267131646514
11/09/2016;05:00:00;266.157514829022
11/09/2016;06:00:00;267.097759490162
11/09/2016;07:00:00;267.300201671412
11/09/2016;08:00:00;269.662929071722
11/09/2016;09:00:00;263.743089163864
11/09/2016;10:00:00;258.546455890631
11/09/2016;11:00:00;257.919786138127
11/09/2016;12:00:00;248.178345854209
11/09/2016;13:00:00;230.127092355661
11/09/2016;14:00:00;229.31007124239
11/09/2016;15:00:00;232.965920513846
11/09/2016;16:00:00;238.667531231845
11/09/2016;17:00:00;242.171259785652
11/09/2016;18:00:00;244.140191999608
11/09/2016;19:00:00;244.469619803809
11/09/2016;20:00:00;245.071574484752
11/09/2016;21:00:00;245.187756503695
11/09/2016;22:00:00;245.223733156343
11/09/2016;23:00:00;248.145167518827
11/10/2016;00:00:00;253.398556409469
11/10/2016;01:00:00;256.963045663203
11/10/2016;02:00:00;258.64568722361
11/10/2016;03:00:00;259.690185623227
11/10/2016;04:00:00;257.657682716588
11/10/2016;05:00:00;249.635848260586
11/10/2016;06:00:00;242.897072446387
11/10/2016;07:00:00;238.176065060482
11/10/2016;08:00:00;234.630303071354
11/10/2016;09:00:00;231.476171431151
11/10/2016;10:00:00;228.339399383671
11/10/2016;11:00:00;226.205180778879
11/10/2016;12:00:00;223.084830079372
11/10/2016;13:00:00;221.241712029929
11/10/2016;14:00:00;217.120008169328
