DATE;TIME;TI0214_SP.PV
11/01/2016;00:00:00;237.430652870805
11/01/2016;01:00:00;237.474226670617
11/01/2016;02:00:00;237.483660851767
11/01/2016;03:00:00;237.217479845293
11/01/2016;04:00:00;237.134345270917
11/01/2016;05:00:00;236.883020562304
11/01/2016;06:00:00;236.843534168262
11/01/2016;07:00:00;236.383498986788
11/01/2016;08:00:00;236.394064988437
11/01/2016;09:00:00;236.50866752243
11/01/2016;10:00:00;236.943861465882
11/01/2016;11:00:00;237.214567577369
11/01/2016;12:00:00;236.671452968334
11/01/2016;13:00:00;236.707642157775
11/01/2016;14:00:00;236.53277545941
11/01/2016;15:00:00;236.29302400148
11/01/2016;16:00:00;236.208509064163
11/01/2016;17:00:00;236.224312478208
11/01/2016;18:00:00;236.306448037101
11/01/2016;19:00:00;236.136854734973
11/01/2016;20:00:00;235.921117791891
11/01/2016;21:00:00;235.907515755947
11/01/2016;22:00:00;235.937185487959
11/01/2016;23:00:00;235.90967272886
11/02/2016;00:00:00;236.051137858254
11/02/2016;01:00:00;236.621049361304
11/02/2016;02:00:00;236.658157564824
11/02/2016;03:00:00;236.553333821973
11/02/2016;04:00:00;236.537356357312
11/02/2016;05:00:00;236.373625721145
11/02/2016;06:00:00;236.302856436339
11/02/2016;07:00:00;236.54993585295
11/02/2016;08:00:00;236.552996355079
11/02/2016;09:00:00;236.535993996739
11/02/2016;10:00:00;236.31684246735
11/02/2016;11:00:00;236.211468717984
11/02/2016;12:00:00;236.8718179432
11/02/2016;13:00:00;236.787031605408
11/02/2016;14:00:00;236.822631116848
11/02/2016;15:00:00;237.293333979158
11/02/2016;16:00:00;237.312921557203
11/02/2016;17:00:00;237.127931907778
11/02/2016;18:00:00;236.931111826325
11/02/2016;19:00:00;236.822541347655
11/02/2016;20:00:00;236.786910147281
11/02/2016;21:00:00;237.197962795676
11/02/2016;22:00:00;237.762831274669
11/02/2016;23:00:00;237.652379004128
11/03/2016;00:00:00;237.603500305809
11/03/2016;01:00:00;237.562794818589
11/03/2016;02:00:00;237.45863049147
11/03/2016;03:00:00;237.494991445588
11/03/2016;04:00:00;237.533618228509
11/03/2016;05:00:00;237.286402483508
11/03/2016;06:00:00;236.942021071202
11/03/2016;07:00:00;236.787784789498
11/03/2016;08:00:00;236.945575581242
11/03/2016;09:00:00;236.849532665951
11/03/2016;10:00:00;237.237591365027
11/03/2016;11:00:00;237.694407013279
11/03/2016;12:00:00;238.465675247984
11/03/2016;13:00:00;239.848146724596
11/03/2016;14:00:00;239.784397045368
11/03/2016;15:00:00;239.864391633085
11/03/2016;16:00:00;239.912378173738
11/03/2016;17:00:00;239.899027632314
11/03/2016;18:00:00;240.105614944465
11/03/2016;19:00:00;240.165016553082
11/03/2016;20:00:00;240.414803335647
11/03/2016;21:00:00;240.412890837568
11/03/2016;22:00:00;240.502540239679
11/03/2016;23:00:00;240.550288396122
11/04/2016;00:00:00;240.075056038869
11/04/2016;01:00:00;239.204715278234
11/04/2016;02:00:00;239.164133688096
11/04/2016;03:00:00;239.449928930789
11/04/2016;04:00:00;239.456887861533
11/04/2016;05:00:00;239.487158742065
11/04/2016;06:00:00;239.429768205868
11/04/2016;07:00:00;239.469668913143
11/04/2016;08:00:00;239.544164861872
11/04/2016;09:00:00;239.757927049027
11/04/2016;10:00:00;239.453468088404
11/04/2016;11:00:00;239.259261402131
11/04/2016;12:00:00;238.974201827417
11/04/2016;13:00:00;238.846075564226
11/04/2016;14:00:00;238.820069532784
11/04/2016;15:00:00;238.810903826933
11/04/2016;16:00:00;238.852828438406
11/04/2016;17:00:00;238.63994618216
11/04/2016;18:00:00;238.731538502941
11/04/2016;19:00:00;238.664027848043
11/04/2016;20:00:00;238.794201763185
11/04/2016;21:00:00;238.869122383946
11/04/2016;22:00:00;238.913780867315
11/04/2016;23:00:00;238.789784791117
11/05/2016;00:00:00;238.612084709169
11/05/2016;01:00:00;238.43229590528
11/05/2016;02:00:00;238.827103483238
11/05/2016;03:00:00;239.086419613992
11/05/2016;04:00:00;239.076400185337
11/05/2016;05:00:00;239.137465688023
11/05/2016;06:00:00;239.041990450015
11/05/2016;07:00:00;238.784906771004
11/05/2016;08:00:00;238.930266542613
11/05/2016;09:00:00;238.696777830488
11/05/2016;10:00:00;238.449214194065
11/05/2016;11:00:00;238.41247752388
11/05/2016;12:00:00;238.163412443435
11/05/2016;13:00:00;238.148001051281
11/05/2016;14:00:00;238.401341832141
11/05/2016;15:00:00;238.20133640397
11/05/2016;16:00:00;238.02348670954
11/05/2016;17:00:00;237.867579830675
11/05/2016;18:00:00;237.914583479803
11/05/2016;19:00:00;237.749718085449
11/05/2016;20:00:00;237.679486859505
11/05/2016;21:00:00;237.729457977097
11/05/2016;22:00:00;237.65588506821
11/05/2016;23:00:00;237.758167132606
11/06/2016;00:00:00;237.820129271798
11/06/2016;01:00:00;237.80347457097
11/06/2016;02:00:00;237.838159092845
