DATE;TIME;TIMBIL1D_TID.PV
11/01/2016;00:00:00;82499.9254455825
11/01/2016;01:00:00;81057.361751433
11/01/2016;02:00:00;77457.2255319524
11/01/2016;03:00:00;73857.0559166796
11/01/2016;04:00:00;70256.825648492
11/01/2016;05:00:00;66656.6274954823
11/01/2016;06:00:00;63056.3585727452
11/01/2016;07:00:00;59456.7595136096
11/01/2016;08:00:00;55857.1637746653
11/01/2016;09:00:00;52258.0808319187
11/01/2016;10:00:00;48658.4863108529
11/01/2016;11:00:00;45058.2907577055
11/01/2016;12:00:00;41458.0952045581
11/01/2016;13:00:00;37857.8801416909
11/01/2016;14:00:00;34257.666375957
11/01/2016;15:00:00;30657.4661171303
11/01/2016;16:00:00;27057.265041085
11/01/2016;17:00:00;23457.7208595288
11/01/2016;18:00:00;19858.5985760618
11/01/2016;19:00:00;16258.6771732107
11/01/2016;20:00:00;12658.4649587221
11/01/2016;21:00:00;9058.25423583813
11/01/2016;22:00:00;5458.02932242912
11/01/2016;23:00:00;1857.83781986429
11/02/2016;00:00:00;82862.0410606904
11/02/2016;01:00:00;81057.4895604378
11/02/2016;02:00:00;77457.2681216061
11/02/2016;03:00:00;73857.3820562785
11/02/2016;04:00:00;70258.6324303743
11/02/2016;05:00:00;66658.5898592372
11/02/2016;06:00:00;63058.3547697315
11/02/2016;07:00:00;59458.2326338208
11/02/2016;08:00:00;55857.959106789
11/02/2016;09:00:00;52257.7909654304
11/02/2016;10:00:00;48657.5764729879
11/02/2016;11:00:00;45057.6329084569
11/02/2016;12:00:00;41457.487918657
11/02/2016;13:00:00;37857.2412968387
11/02/2016;14:00:00;34257.9045366286
11/02/2016;15:00:00;30657.8070082223
11/02/2016;16:00:00;27057.7491260862
11/02/2016;17:00:00;23457.3540813928
11/02/2016;18:00:00;19857.5786647847
11/02/2016;19:00:00;16257.9495586543
11/02/2016;20:00:00;12657.8400840242
11/02/2016;21:00:00;9057.70037009584
11/02/2016;22:00:00;5457.52560231742
11/02/2016;23:00:00;1857.483071501
11/03/2016;00:00:00;82863.6789127896
11/03/2016;01:00:00;81058.0032434888
11/03/2016;02:00:00;77457.6953398174
11/03/2016;03:00:00;73857.8520085259
11/03/2016;04:00:00;70257.5143371717
11/03/2016;05:00:00;66657.3826497574
11/03/2016;06:00:00;63056.9392468135
11/03/2016;07:00:00;59456.8853820793
11/03/2016;08:00:00;55856.8759360446
11/03/2016;09:00:00;52256.8311267696
11/03/2016;10:00:00;48656.9168737898
11/03/2016;11:00:00;45058.0766745694
11/03/2016;12:00:00;41457.9515529792
11/03/2016;13:00:00;37857.8212482236
11/03/2016;14:00:00;34257.6433120773
11/03/2016;15:00:00;30657.7168766054
11/03/2016;16:00:00;27057.3813484551
11/03/2016;17:00:00;23457.1248533819
11/03/2016;18:00:00;19857.1193155863
11/03/2016;19:00:00;16257.0123488537
11/03/2016;20:00:00;12656.9803771206
11/03/2016;21:00:00;9057.98716764822
11/03/2016;22:00:00;5458.20795457807
11/03/2016;23:00:00;1857.7677981108
11/04/2016;00:00:00;82480.5134407217
11/04/2016;01:00:00;81057.7173625941
11/04/2016;02:00:00;77457.7133887653
11/04/2016;03:00:00;73857.487687214
11/04/2016;04:00:00;70257.2310431159
11/04/2016;05:00:00;66657.1920519007
11/04/2016;06:00:00;63056.8834400837
11/04/2016;07:00:00;59457.7754819056
11/04/2016;08:00:00;55857.7316345557
11/04/2016;09:00:00;52257.6270229463
11/04/2016;10:00:00;48657.5148365185
11/04/2016;11:00:00;45057.4711396701
11/04/2016;12:00:00;41457.2821875416
11/04/2016;13:00:00;37857.1382220109
11/04/2016;14:00:00;34256.9565103484
11/04/2016;15:00:00;30656.8472161364
11/04/2016;16:00:00;27056.7433042045
11/04/2016;17:00:00;23457.272783878
11/04/2016;18:00:00;19857.519400728
11/04/2016;19:00:00;16257.4037726401
11/04/2016;20:00:00;12657.2881445523
11/04/2016;21:00:00;9057.17251646438
11/04/2016;22:00:00;5457.0568883765
11/04/2016;23:00:00;1856.94126028863
11/05/2016;00:00:00;82858.9871974782
11/05/2016;01:00:00;81056.7178836894
11/05/2016;02:00:00;77456.6085121958
11/05/2016;03:00:00;73856.8111220991
11/05/2016;04:00:00;70257.3502247179
11/05/2016;05:00:00;66657.2274565816
11/05/2016;06:00:00;63057.1046884454
11/05/2016;07:00:00;59456.9819203091
11/05/2016;08:00:00;55857.345693617
11/05/2016;09:00:00;52257.7653524307
11/05/2016;10:00:00;48657.5973904139
11/05/2016;11:00:00;45057.5727199876
11/05/2016;12:00:00;41457.4254750261
11/05/2016;13:00:00;37857.3728587697
11/05/2016;14:00:00;34258.1100827159
11/05/2016;15:00:00;30658.0946987552
11/05/2016;16:00:00;27057.9719761145
11/05/2016;17:00:00;23457.7813671713
11/05/2016;18:00:00;19857.648401521
11/05/2016;19:00:00;16257.5337154598
11/05/2016;20:00:00;12657.292787991
11/05/2016;21:00:00;9056.99486838895
11/05/2016;22:00:00;5456.71468602187
11/05/2016;23:00:00;1857.14241951459
11/06/2016;00:00:00;82878.1557609504
11/06/2016;01:00:00;81057.8014754609
11/06/2016;02:00:00;77457.3825252282
11/06/2016;03:00:00;73857.519535603
11/06/2016;04:00:00;70258.0361727767
11/06/2016;05:00:00;66657.9951931123
11/06/2016;06:00:00;63058.2215317542
11/06/2016;07:00:00;59457.9887586341
11/06/2016;08:00:00;55857.7383569701
11/06/2016;09:00:00;52257.5732743793
11/06/2016;10:00:00;48658.1394568668
11/06/2016;11:00:00;45058.4786653099
11/06/2016;12:00:00;41458.3747249509
11/06/2016;13:00:00;37858.1104881706
11/06/2016;14:00:00;34257.8249294009
11/06/2016;15:00:00;30657.7525586955
11/06/2016;16:00:00;27057.5853824618
11/06/2016;17:00:00;23457.6282726025
11/06/2016;18:00:00;19857.4808340794
11/06/2016;19:00:00;16257.3835684361
11/06/2016;20:00:00;12657.2453527981
11/06/2016;21:00:00;9057.96884668226
11/06/2016;22:00:00;5457.79715105491
11/06/2016;23:00:00;1857.73947370849
11/07/2016;00:00:00;83568.9957362955
11/07/2016;01:00:00;81057.4258899833
11/07/2016;02:00:00;77457.2655296682
11/07/2016;03:00:00;73857.3020247854
11/07/2016;04:00:00;70256.9449022881
11/07/2016;05:00:00;66657.0250613892
11/07/2016;06:00:00;63056.8700114321
11/07/2016;07:00:00;59457.5995830497
11/07/2016;08:00:00;55857.8205965148
11/07/2016;09:00:00;52257.3008262131
11/07/2016;10:00:00;48657.1937267115
11/07/2016;11:00:00;45057.1714983246
11/07/2016;12:00:00;41457.0461672248
11/07/2016;13:00:00;37856.9693640268
11/07/2016;14:00:00;34256.7105753893
11/07/2016;15:00:00;30656.5412231478
11/07/2016;16:00:00;27056.4203646219
11/07/2016;17:00:00;23456.8951317151
11/07/2016;18:00:00;19857.1971055327
11/07/2016;19:00:00;16257.063922632
11/07/2016;20:00:00;12656.9749083755
11/07/2016;21:00:00;9056.83253819189
11/07/2016;22:00:00;5456.73700111211
11/07/2016;23:00:00;1856.58520281382
11/08/2016;00:00:00;83586.8863516959
11/08/2016;01:00:00;81056.3553777138
11/08/2016;02:00:00;77456.3092863555
11/08/2016;03:00:00;73856.450645217
11/08/2016;04:00:00;70257.0771875023
11/08/2016;05:00:00;66656.9631951328
11/08/2016;06:00:00;63056.8492027633
11/08/2016;07:00:00;59456.7431100861
11/08/2016;08:00:00;55856.5361712075
11/08/2016;09:00:00;52256.423040953
11/08/2016;10:00:00;48656.594491333
11/08/2016;11:00:00;45056.3710077045
11/08/2016;12:00:00;41456.8553084455
11/08/2016;13:00:00;37857.0380487232
11/08/2016;14:00:00;34257.8753965803
11/08/2016;15:00:00;30658.2458545289
11/08/2016;16:00:00;27058.7044980461
11/08/2016;17:00:00;23458.5790052001
11/08/2016;18:00:00;19858.4631991904
11/08/2016;19:00:00;16258.3203832069
11/08/2016;20:00:00;12658.1187631463
