DR2.TI0001.PV              POW.MB11
DR2.TI0006.PV              POW. Z MB-21
DR2.TI0010.PV              ROPA WSAD
DR2.TI0011.PV              RAW CRUDE FROM T-11AB
DR2.TI0016.PV               ROS 1-STR WYLOT
DR2.TI0020.PV              RAW CRUDE FROM T-21
DR2.TI0026.PV               ROS 2-STR WYLOT
DR2.TI0030.PV              PO WYM. ROPY SUROWEJ
DR2.TI0031.PV              WEJSCIE PC-1 I STR
DR2.TI0032.PV              WEJSCIE PC-1 II STR
DR2.TI0033.PV              WEJSCIE PC-1 III STR
DR2.TI0034.PV              WEJSCIE PC-1 IV STR
DR2.TI0035.PV              WEJSCIE PC-1 V STR
DR2.TI0036.PV              WEJSCIE PC-1 VI STR
DR2.TI0037.PV              WEJSCIE PC-1VII STR
DR2.TI0038.PV              WEJSCIE PC-1 VIII STR
DR2.TI0041.PV              PC-1 CIANKI RUR 1
DR2.TI0042.PV              PC-1 CIANKI RUR 2
DR2.TI0043.PV              PC-1 CIANKI RUR 3
DR2.TI0044.PV              PC-1 CIANKI RUR 4
DR2.TI0045.PV              PC-1 CIANKI RUR 5
DR2.TI0046.PV              PC-1 CIANKI RUR 6
DR2.TI0047.PV              PC-1 CIANKI RUR 7
DR2.TI0048.PV              PC-1 CIANKI RUR 8
DR2.TI0070.PV              ROD DO Z15
DR2.TI0105.PV              DESALTED CRUDE FROM W-16
DR2.TI0105_.PV             ROD DO W11 TL.P20AB
DR2.TI0112.PV              DESALTED CRUDE FROM W-27
DR2.TI0119.PV              DO K-1 I STRUMIEN
DR2.TI0120.PV              ROD DO K-1
DR2.TI0121.PV              WEJSCIE PC-2 I STR
DR2.TI0122.PV              WEJSCIE PC-2 II STR
DR2.TI0123.PV              WEJSCIE PC-2 III STR
DR2.TI0124.PV              WEJSCIE PC-2 IV STR
DR2.TI0125.PV              PC-2 CIANKI RUR 1
DR2.TI0126.PV              PC-2 CIANKI RUR 2
DR2.TI0127.PV              PC-2 CIANKI RUR 3
DR2.TI0128.PV              PC-2 CIANKI RUR 4
DR2.TI0152.PV              ZAS.K-1
DR2.TI0172.PV              2 STR. ROPA RECYKL. TEMP
DR2.TI0173.PV              1 STR. ROPA RECYKL. TEMP
DR2.TI0180.PV              A20 DO K-4
DR2.TI0204.PV              SZCZYT K-2
DR2.TI0206.PV              K-2 O.A22 ODB.FR
DR2.TI0208.PV              K-2 O.A23 ODB.FR
DR2.TI0210.PV              K-2 O.A24 ODB.FR
DR2.TI0212.PV              K-2 K.E KOM.EWAP
DR2.TI0213.PV              K-2 KUB
DR2.TI0214.PV              ROPA DO PC1
DR2.TI0214_BS_GAIN.PVROPA DO PC1 - P_TAG
DR2.TI0214_BS_RESET.PVROPA DO PC1 - I_TAG
DR2.TI0214_OP.PV        ROPA DO PC1 - CONTROL OUTPUT
DR2.TI0214_OUT_MODE.PVROPA DO PC1 - MODE_TAG
DR2.TI0214_PREACTIM.PVROPA DO PC1 - D_TAG
DR2.TI0214_SP.PV        ROPA DO PC1 - SETPOINT
DR2.TI0214I.PV            ROB DO PC-1
DR2.TI0214OUT.PV        ZAWROT ROPY DO K-1 (OUT)
DR2.TI0215.PV              ROB DO PC-1
DR2.TI0232.PV              PC-1 SPALINY
DR2.TI0234.PV              KOMIN PC-1
DR2.TI0236.PV              SILNIK MB-22A UZW. L1
DR2.TI0237.PV              SILNIK MB-22 UZW. L2
DR2.TI0238.PV              MB-22 LOZ.1
DR2.TI0240.PV              K-3/1
DR2.TI0241.PV              K-3/2
DR2.TI0242.PV              K-3/3
DR2.TI0246.PV              OR12 PO T1
DR2.TI0249.PV              A21 PROD
DR2.TI0250.PV              OR22 WYL
DR2.TI0253.PV              OR12 WYL
DR2.TI0254.PV              OR12 PO T11
DR2.TI0255.PV              OR32 WYL
DR2.TI0258.PV              OR22 Z T26
DR2.TI0260.PV              OR42 WYLOT
DR2.TI0261.PV              OR32 DO W12
DR2.TI0263.PV              OR22 Z T22
DR2.TI0264.PV              OR42 PO W15 DO K2
DR2.TI0265.PV              A22 PO T13
DR2.TI0267.PV              OR32 Z T24
DR2.TI0270.PV              A22 PROD
DR2.TI0271.PV              A23 PO W11 DO K7/1
DR2.TI0273.PV              A23 PO T12
DR2.TI0274.PV              A24 DO K-7/2
DR2.TI0275.PV              A23 PROD
DR2.TI0278.PV              A24 Z T-23
DR2.TI0279.PV              OR22 POW
DR2.TI0280.PV              A24 PROD
DR2.TI0281.PV              OR32 POW
DR2.TI0301.PV              SZCZYT K-5
DR2.TI0304.PV              KOM.EWAP K-5
DR2.TI0306.PV              KUB K-5
DR2.TI0307.PV              ORC.1 WYLOT
DR2.TI0309.PV              P22 Z K-5
DR2.TI0311.PV              P24 Z K-5
DR2.TI0312.PV              K-12/1
DR2.TI0313.PV              TEMPERATURA MEDIUM
DR2.TI0314.PV              K-12/3
DR2.TI0315.PV              K-12/4
DR2.TI0316.PV              PA2 DO PC-2
DR2.TI0317.PV              PA2 DO PC-2
DR2.TI0327.PV              Z16
DR2.TI0329.PV              PC-2 SPALINY
DR2.TI0332.PV              P20 Z T25
DR2.TI0333.PV              PC-2
DR2.TI0334.PV              OR15 + P20 from T-21
DR2.TI0335.PV              OR25 WYLOT
DR2.TI0336.PV              OR25 PO W25 DO K5
DR2.TI0337.PV              PP2 PO E-11
