DATE;TIME;FC0102R.PV
10/31/2017;00:00:00;201.119246011139
10/31/2017;01:00:00;202.023470971705
10/31/2017;02:00:00;202.042642216502
10/31/2017;03:00:00;202.062887629793
10/31/2017;04:00:00;202.074829683831
10/31/2017;05:00:00;201.798720617301
10/31/2017;06:00:00;201.983029495729
10/31/2017;07:00:00;201.891146438902
10/31/2017;08:00:00;201.755657315685
10/31/2017;09:00:00;201.759376826788
10/31/2017;10:00:00;202.171695923785
10/31/2017;11:00:00;201.774096599126
10/31/2017;12:00:00;202.442080931752
10/31/2017;13:00:00;202.649378900948
10/31/2017;14:00:00;202.285112528832
10/31/2017;15:00:00;202.312124331868
10/31/2017;16:00:00;202.339267355524
10/31/2017;17:00:00;203.170713452705
10/31/2017;18:00:00;201.613237854675
10/31/2017;19:00:00;202.331945608596
10/31/2017;20:00:00;201.637694711864
10/31/2017;21:00:00;201.774486309233
10/31/2017;22:00:00;201.830278670765
10/31/2017;23:00:00;202.160122571972
11/01/2017;00:00:00;201.983300668389
11/01/2017;01:00:00;202.321884670131
11/01/2017;02:00:00;202.045084281106
11/01/2017;03:00:00;202.384938007718
11/01/2017;04:00:00;202.230746959864
11/01/2017;05:00:00;201.962311632512
11/01/2017;06:00:00;202.264848296524
11/01/2017;07:00:00;202.080099850821
11/01/2017;08:00:00;202.306711696598
11/01/2017;09:00:00;202.405656251477
11/01/2017;10:00:00;201.844081980351
11/01/2017;11:00:00;201.873567754852
11/01/2017;12:00:00;201.91559091314
11/01/2017;13:00:00;202.202525199937
11/01/2017;14:00:00;202.175606978897
11/01/2017;15:00:00;202.413511758975
11/01/2017;16:00:00;201.621860843126
11/01/2017;17:00:00;201.723243780181
11/01/2017;18:00:00;201.852049689447
11/01/2017;19:00:00;201.867585775918
11/01/2017;20:00:00;201.349802581341
11/01/2017;21:00:00;202.21830233282
11/01/2017;22:00:00;201.833616948692
11/01/2017;23:00:00;202.32153295424
11/02/2017;00:00:00;201.859793288464
11/02/2017;01:00:00;202.003864853395
11/02/2017;02:00:00;202.232604505839
11/02/2017;03:00:00;202.104326167852
11/02/2017;04:00:00;201.762923128579
11/02/2017;05:00:00;202.031341314991
11/02/2017;06:00:00;201.764841521118
11/02/2017;07:00:00;201.995925665232
11/02/2017;08:00:00;201.517023176636
11/02/2017;09:00:00;201.64039416959
11/02/2017;10:00:00;201.588664211973
11/02/2017;11:00:00;201.61706056597
11/02/2017;12:00:00;201.730005752562
11/02/2017;13:00:00;201.931311824107
11/02/2017;14:00:00;202.332174959279
11/02/2017;15:00:00;201.717960260224
11/02/2017;16:00:00;202.395489151825
11/02/2017;17:00:00;202.036616119552
11/02/2017;18:00:00;201.874644689504
11/02/2017;19:00:00;202.455534420399
11/02/2017;20:00:00;202.43229588349
11/02/2017;21:00:00;202.152626330226
11/02/2017;22:00:00;202.51354158191
11/02/2017;23:00:00;202.040726657113
11/03/2017;00:00:00;202.225912177271
11/03/2017;01:00:00;202.370111181803
11/03/2017;02:00:00;202.354987965235
11/03/2017;03:00:00;202.433051037568
11/03/2017;04:00:00;202.403635872702
11/03/2017;05:00:00;202.074317530142
11/03/2017;06:00:00;202.171787290976
11/03/2017;07:00:00;202.607042743398
11/03/2017;08:00:00;202.666242597917
11/03/2017;09:00:00;202.767889232621
11/03/2017;10:00:00;202.746349895707
11/03/2017;11:00:00;202.857090926947
11/03/2017;12:00:00;202.73287721866
11/03/2017;13:00:00;202.874202120621
11/03/2017;14:00:00;202.940963649736
