DATE;TIME;FC0208OUT.PV
10/31/2017;00:00:00;45.922546480683
10/31/2017;01:00:00;45.9046493589682
10/31/2017;02:00:00;45.9332229587849
10/31/2017;03:00:00;45.9533995595103
10/31/2017;04:00:00;45.9582548911542
10/31/2017;05:00:00;45.8487591625632
10/31/2017;06:00:00;45.9086733687397
10/31/2017;07:00:00;46.0117089781974
10/31/2017;08:00:00;45.9503206454534
10/31/2017;09:00:00;46.035476157317
10/31/2017;10:00:00;46.1145224582336
10/31/2017;11:00:00;46.0369440283454
10/31/2017;12:00:00;46.1065794680983
10/31/2017;13:00:00;46.088725832692
10/31/2017;14:00:00;46.1129563297635
10/31/2017;15:00:00;46.0640486621039
10/31/2017;16:00:00;46.0422643846135
10/31/2017;17:00:00;46.0391288415075
10/31/2017;18:00:00;46.0555411684343
10/31/2017;19:00:00;45.9295874027392
10/31/2017;20:00:00;45.9578614079401
10/31/2017;21:00:00;46.0130298756631
10/31/2017;22:00:00;46.0535460740389
10/31/2017;23:00:00;46.0144494108596
11/01/2017;00:00:00;46.1034592055684
11/01/2017;01:00:00;46.0284624818563
11/01/2017;02:00:00;46.0333491226012
11/01/2017;03:00:00;46.0677423866001
11/01/2017;04:00:00;46.0380835101966
11/01/2017;05:00:00;46.0774470155489
11/01/2017;06:00:00;46.0852486541098
11/01/2017;07:00:00;46.111006257733
11/01/2017;08:00:00;46.0704490507759
11/01/2017;09:00:00;46.0582587154004
11/01/2017;10:00:00;46.0407153374083
11/01/2017;11:00:00;46.0820269418602
11/01/2017;12:00:00;46.045416117713
11/01/2017;13:00:00;46.1049219876393
11/01/2017;14:00:00;46.1154036224692
11/01/2017;15:00:00;46.1900321508427
11/01/2017;16:00:00;46.0864926550556
11/01/2017;17:00:00;46.0773540249231
11/01/2017;18:00:00;46.0749108250028
11/01/2017;19:00:00;46.1531132734996
11/01/2017;20:00:00;46.1260883314719
11/01/2017;21:00:00;46.1238518547004
11/01/2017;22:00:00;46.1259858095363
11/01/2017;23:00:00;46.2064100530515
11/02/2017;00:00:00;46.1704621862267
11/02/2017;01:00:00;46.1566382619121
11/02/2017;02:00:00;46.1147487770496
11/02/2017;03:00:00;46.1949912050465
11/02/2017;04:00:00;46.1582447651842
11/02/2017;05:00:00;46.1456408838466
11/02/2017;06:00:00;46.1137168395079
11/02/2017;07:00:00;46.1618373682446
11/02/2017;08:00:00;46.1405350611071
11/02/2017;09:00:00;46.1501397525088
11/02/2017;10:00:00;46.1176537335256
11/02/2017;11:00:00;46.0676688406657
11/02/2017;12:00:00;46.127987962012
11/02/2017;13:00:00;46.1718630290328
11/02/2017;14:00:00;46.1527102251762
11/02/2017;15:00:00;46.1196425679895
11/02/2017;16:00:00;46.1080259914279
11/02/2017;17:00:00;46.0966980875273
11/02/2017;18:00:00;46.1555005830214
11/02/2017;19:00:00;46.0964738706984
11/02/2017;20:00:00;46.1788889035984
11/02/2017;21:00:00;46.1326019982495
11/02/2017;22:00:00;46.1354470324519
11/02/2017;23:00:00;46.1258406725226
11/03/2017;00:00:00;46.0791947961159
11/03/2017;01:00:00;46.1335711875478
11/03/2017;02:00:00;46.1528595918901
11/03/2017;03:00:00;46.1063290107514
11/03/2017;04:00:00;46.1085271956601
11/03/2017;05:00:00;46.1186229331526
11/03/2017;06:00:00;46.1058141813197
11/03/2017;07:00:00;46.133913389614
11/03/2017;08:00:00;46.0989061255637
11/03/2017;09:00:00;46.1142756718266
11/03/2017;10:00:00;46.2133636342792
11/03/2017;11:00:00;46.2030099973996
11/03/2017;12:00:00;46.2087864065737
11/03/2017;13:00:00;46.1860559536252
11/03/2017;14:00:00;46.244023104151
11/03/2017;15:00:00;46.2114499232299
11/03/2017;16:00:00;46.1430498064063
11/03/2017;17:00:00;46.2302758976255
11/03/2017;18:00:00;46.27186188474
11/03/2017;19:00:00;46.1996323620087
11/03/2017;20:00:00;46.2208746797522
11/03/2017;21:00:00;46.1392728149191
11/03/2017;22:00:00;46.1123437488227
11/03/2017;23:00:00;46.1580578280325
11/04/2017;00:00:00;46.1290633361091
11/04/2017;01:00:00;46.1727069912982
11/04/2017;02:00:00;46.1572925763321
11/04/2017;03:00:00;46.0802023657702
11/04/2017;04:00:00;46.102121551863
