DATE;TIME;PCS0136_SP.PV
10/31/2017;00:00:00;-63.8140613458306
10/31/2017;01:00:00;-55.4648663446788
10/31/2017;02:00:00;-56.078628631139
10/31/2017;03:00:00;-58.3583206601259
10/31/2017;04:00:00;-59.953648671836
10/31/2017;05:00:00;-61.2283590359638
10/31/2017;06:00:00;-63.270336671777
10/31/2017;07:00:00;-64.8264022238871
10/31/2017;08:00:00;-66.092684600683
10/31/2017;09:00:00;-68.2097934719816
10/31/2017;10:00:00;-70.2567489405146
10/31/2017;11:00:00;-68.548010308121
10/31/2017;12:00:00;-60.9572112238314
10/31/2017;13:00:00;-62.792583572692
10/31/2017;14:00:00;-65.3625342679493
10/31/2017;15:00:00;-64.2465853729007
10/31/2017;16:00:00;-61.6272804211139
10/31/2017;17:00:00;-55.4710062280941
10/31/2017;18:00:00;-48.4570446922338
10/31/2017;19:00:00;-54.4906491651529
10/31/2017;20:00:00;-53.3366505553348
10/31/2017;21:00:00;-54.2745919503098
10/31/2017;22:00:00;-56.4456592747638
10/31/2017;23:00:00;-57.6840993311505
11/01/2017;00:00:00;-59.3898362921496
11/01/2017;01:00:00;-48.7088423866615
11/01/2017;02:00:00;-37.3737811240799
11/01/2017;03:00:00;-42.1968146554533
11/01/2017;04:00:00;-46.8340420244897
11/01/2017;05:00:00;-47.9203127314412
11/01/2017;06:00:00;-45.3019383659996
11/01/2017;07:00:00;-41.8592036012112
11/01/2017;08:00:00;-45.5596985814416
11/01/2017;09:00:00;-46.9034940152654
11/01/2017;10:00:00;-45.4664924091393
11/01/2017;11:00:00;-43.7654913414307
11/01/2017;12:00:00;-39.2418548574703
11/01/2017;13:00:00;-35.4172670922822
11/01/2017;14:00:00;-34.9575611745924
11/01/2017;15:00:00;-35.5621462264733
11/01/2017;16:00:00;-32.0398285359931
11/01/2017;17:00:00;-24.577169985715
11/01/2017;18:00:00;-22.5328282817437
11/01/2017;19:00:00;-25.2778742688076
11/01/2017;20:00:00;-27.0315451711681
11/01/2017;21:00:00;-29.4257064750466
11/01/2017;22:00:00;-26.7121614404807
11/01/2017;23:00:00;-26.8680119126174
11/02/2017;00:00:00;-27.4209430383316
11/02/2017;01:00:00;-26.4742740028648
11/02/2017;02:00:00;-26.429630625109
11/02/2017;03:00:00;-28.360636332591
11/02/2017;04:00:00;-28.4536169021222
11/02/2017;05:00:00;-22.7267996440886
11/02/2017;06:00:00;-21.4741338394376
11/02/2017;07:00:00;-19.6976197706617
11/02/2017;08:00:00;-19.2348819323757
11/02/2017;09:00:00;-17.8454303561129
11/02/2017;10:00:00;-20.4131191032586
11/02/2017;11:00:00;-22.0776779709489
11/02/2017;12:00:00;-19.6458258453202
11/02/2017;13:00:00;-22.4393689898673
11/02/2017;14:00:00;-25.8820776716402
11/02/2017;15:00:00;-27.7743229188824
11/02/2017;16:00:00;-29.4998315142039
11/02/2017;17:00:00;-28.7042133450317
11/02/2017;18:00:00;-31.5499975284372
11/02/2017;19:00:00;-30.4518819981541
11/02/2017;20:00:00;-29.9628653991
11/02/2017;21:00:00;-29.8762460682412
11/02/2017;22:00:00;-27.2037155276561
11/02/2017;23:00:00;-27.6433373162175
11/03/2017;00:00:00;-24.6133482476837
11/03/2017;01:00:00;-24.5950179791668
11/03/2017;02:00:00;-27.8777072951515
11/03/2017;03:00:00;-28.4673207535136
11/03/2017;04:00:00;-31.3907134658998
11/03/2017;05:00:00;-34.5599626410949
11/03/2017;06:00:00;-37.2503931916764
11/03/2017;07:00:00;-40.8579343719427
11/03/2017;08:00:00;-43.0090473311175
