DATE;TIME;PI0351.PV
10/31/2017;00:00:00;1174.68810982478
10/31/2017;01:00:00;1175.85609064252
10/31/2017;02:00:00;1180.00592792995
10/31/2017;03:00:00;1183.02550699894
10/31/2017;04:00:00;1183.8993784064
10/31/2017;05:00:00;1182.56756461882
10/31/2017;06:00:00;1189.44595594215
10/31/2017;07:00:00;1201.01536757544
10/31/2017;08:00:00;1197.05743621827
10/31/2017;09:00:00;1197.83470451066
10/31/2017;10:00:00;1178.57670051292
10/31/2017;11:00:00;1182.10917710432
10/31/2017;12:00:00;1188.16500481912
10/31/2017;13:00:00;1181.57567212986
10/31/2017;14:00:00;1185.38970385031
10/31/2017;15:00:00;1190.33658475258
10/31/2017;16:00:00;1185.46609563294
10/31/2017;17:00:00;1185.82207814237
10/31/2017;18:00:00;1190.869893269
10/31/2017;19:00:00;1194.94455461217
10/31/2017;20:00:00;1189.33073936658
10/31/2017;21:00:00;1191.0887352159
10/31/2017;22:00:00;1188.64924088566
10/31/2017;23:00:00;1187.39871608105
11/01/2017;00:00:00;1182.74787043255
11/01/2017;01:00:00;1183.69129376165
11/01/2017;02:00:00;1179.5495867238
11/01/2017;03:00:00;1189.01958820081
11/01/2017;04:00:00;1190.0015289304
11/01/2017;05:00:00;1192.31256358427
11/01/2017;06:00:00;1189.89391622013
11/01/2017;07:00:00;1186.35474945748
11/01/2017;08:00:00;1188.78406293392
11/01/2017;09:00:00;1188.06937268063
11/01/2017;10:00:00;1187.48217608962
11/01/2017;11:00:00;1190.85541552086
11/01/2017;12:00:00;1187.57386670085
11/01/2017;13:00:00;1183.03271076263
11/01/2017;14:00:00;1188.52965550529
11/01/2017;15:00:00;1191.30976157022
11/01/2017;16:00:00;1187.04830247009
11/01/2017;17:00:00;1192.25268576197
11/01/2017;18:00:00;1193.77400725919
11/01/2017;19:00:00;1189.73981431303
11/01/2017;20:00:00;1200.80121044908
11/01/2017;21:00:00;1193.08339443986
11/01/2017;22:00:00;1186.29296906963
11/01/2017;23:00:00;1198.48675185152
11/02/2017;00:00:00;1200.00086700525
11/02/2017;01:00:00;1195.36441066778
11/02/2017;02:00:00;1192.62554517304
11/02/2017;03:00:00;1192.59316609196
11/02/2017;04:00:00;1192.46221881607
11/02/2017;05:00:00;1195.9476638683
11/02/2017;06:00:00;1191.35856907349
