DATE;TIME;TC0449OUT.PV
10/31/2017;00:00:00;85
10/31/2017;01:00:00;85
10/31/2017;02:00:00;85
10/31/2017;03:00:00;85
10/31/2017;04:00:00;85
10/31/2017;05:00:00;85
10/31/2017;06:00:00;84.5388959736294
10/31/2017;07:00:00;84
10/31/2017;08:00:00;84
10/31/2017;09:00:00;83.3000250032213
10/31/2017;10:00:00;82
10/31/2017;11:00:00;82
10/31/2017;12:00:00;82
10/31/2017;13:00:00;83.0110672166612
10/31/2017;14:00:00;84
10/31/2017;15:00:00;84
10/31/2017;16:00:00;84
10/31/2017;17:00:00;85.3472411092122
10/31/2017;18:00:00;86.6083445866903
10/31/2017;19:00:00;85.3333019404941
10/31/2017;20:00:00;84.8277686225043
10/31/2017;21:00:00;84
10/31/2017;22:00:00;84
10/31/2017;23:00:00;84
11/01/2017;00:00:00;84
11/01/2017;01:00:00;84
11/01/2017;02:00:00;84
11/01/2017;03:00:00;84
11/01/2017;04:00:00;84
11/01/2017;05:00:00;84
11/01/2017;06:00:00;84
11/01/2017;07:00:00;84
11/01/2017;08:00:00;84
11/01/2017;09:00:00;84
11/01/2017;10:00:00;84
11/01/2017;11:00:00;83.0000125016107
11/01/2017;12:00:00;82
11/01/2017;13:00:00;82.2694266637166
11/01/2017;14:00:00;83
11/01/2017;15:00:00;83.5138809691535
11/01/2017;16:00:00;84
11/01/2017;17:00:00;85.7944562530518
11/01/2017;18:00:00;82.2777333407932
11/01/2017;19:00:00;82.3999360571978
11/01/2017;20:00:00;85.0195088937547
11/01/2017;21:00:00;82.2416911146376
11/01/2017;22:00:00;82.8833186086019
11/01/2017;23:00:00;84
11/02/2017;00:00:00;84
11/02/2017;01:00:00;84
11/02/2017;02:00:00;84
11/02/2017;03:00:00;84
11/02/2017;04:00:00;84
11/02/2017;05:00:00;83.4167115317451
11/02/2017;06:00:00;82
11/02/2017;07:00:00;82.3166383319431
11/02/2017;08:00:00;84
11/02/2017;09:00:00;84
11/02/2017;10:00:00;84
11/02/2017;11:00:00;84
