DATE;TIME;TI0214_SP.PV
10/31/2017;00:00:00;232.83532900821
10/31/2017;01:00:00;232.951656220054
10/31/2017;02:00:00;233.059853733831
10/31/2017;03:00:00;233.150547494875
10/31/2017;04:00:00;233.071537960861
10/31/2017;05:00:00;232.988760131846
10/31/2017;06:00:00;233.017221205945
10/31/2017;07:00:00;232.949967627763
10/31/2017;08:00:00;232.838672369494
10/31/2017;09:00:00;232.570153054983
10/31/2017;10:00:00;232.356729556771
10/31/2017;11:00:00;232.510085923708
10/31/2017;12:00:00;232.805052241823
10/31/2017;13:00:00;232.680279472213
10/31/2017;14:00:00;232.577660096648
10/31/2017;15:00:00;232.776538389535
10/31/2017;16:00:00;232.791157095425
10/31/2017;17:00:00;232.540992333331
10/31/2017;18:00:00;232.565210093493
10/31/2017;19:00:00;232.583394999274
10/31/2017;20:00:00;232.471883891287
10/31/2017;21:00:00;232.37056322535
10/31/2017;22:00:00;232.295472126939
10/31/2017;23:00:00;232.339263976249
11/01/2017;00:00:00;232.472067350431
11/01/2017;01:00:00;232.562799255552
11/01/2017;02:00:00;232.794301656508
11/01/2017;03:00:00;232.692196477998
11/01/2017;04:00:00;232.626796968971
11/01/2017;05:00:00;232.610606529886
11/01/2017;06:00:00;232.314109787426
11/01/2017;07:00:00;232.246068564445
11/01/2017;08:00:00;232.446029943609
11/01/2017;09:00:00;232.68853621937
11/01/2017;10:00:00;232.638618662536
11/01/2017;11:00:00;232.483929224955
11/01/2017;12:00:00;232.519747637234
11/01/2017;13:00:00;232.360751140853
11/01/2017;14:00:00;232.428084754284
11/01/2017;15:00:00;232.461934099192
11/01/2017;16:00:00;232.490746403079
11/01/2017;17:00:00;232.046529583108
11/01/2017;18:00:00;232.171662503303
11/01/2017;19:00:00;232.209338288093
11/01/2017;20:00:00;232.17395896414
11/01/2017;21:00:00;231.899835067818
11/01/2017;22:00:00;231.872082423535
11/01/2017;23:00:00;231.749207487434
11/02/2017;00:00:00;231.788060209437
11/02/2017;01:00:00;231.561146763189
11/02/2017;02:00:00;231.442286235477
11/02/2017;03:00:00;231.68978290257
11/02/2017;04:00:00;232.035319372751
11/02/2017;05:00:00;231.97460281442
11/02/2017;06:00:00;232.005087043217
11/02/2017;07:00:00;231.832321887544
11/02/2017;08:00:00;231.793513658336
11/02/2017;09:00:00;231.769688392087
11/02/2017;10:00:00;231.488464642417
11/02/2017;11:00:00;231.318479307086
11/02/2017;12:00:00;231.495727700525
11/02/2017;13:00:00;231.566657924456
11/02/2017;14:00:00;231.3803772588
11/02/2017;15:00:00;231.798961059977
11/02/2017;16:00:00;231.764865402679
11/02/2017;17:00:00;231.977407019598
11/02/2017;18:00:00;232.124178975245
11/02/2017;19:00:00;232.071437700219
11/02/2017;20:00:00;232.097062525546
11/02/2017;21:00:00;232.044167804716
11/02/2017;22:00:00;231.996736268253
11/02/2017;23:00:00;232.218059633772
11/03/2017;00:00:00;232.068031449981
11/03/2017;01:00:00;232.072558242413
11/03/2017;02:00:00;232.127690009879
11/03/2017;03:00:00;232.178736266267
11/03/2017;04:00:00;232.164023028647
11/03/2017;05:00:00;232.053397403925
11/03/2017;06:00:00;232.076606365847
11/03/2017;07:00:00;232.207013308233
11/03/2017;08:00:00;232.236660493976
11/03/2017;09:00:00;232.170096332448
11/03/2017;10:00:00;231.94189117246
11/03/2017;11:00:00;232.21021581629
11/03/2017;12:00:00;232.131906787142
