DATE;TIME;TIMBIL1D_TID.PV
10/31/2017;00:00:00;83207.9903135229
10/31/2017;01:00:00;81048.7149549871
10/31/2017;02:00:00;77448.6918696088
10/31/2017;03:00:00;73848.7308471576
10/31/2017;04:00:00;70249.3264728688
10/31/2017;05:00:00;66648.6954091613
10/31/2017;06:00:00;63048.7055272798
10/31/2017;07:00:00;59448.7401290367
10/31/2017;08:00:00;55848.6892978044
10/31/2017;09:00:00;52248.7195588709
10/31/2017;10:00:00;48648.7193738193
10/31/2017;11:00:00;45048.688995114
10/31/2017;12:00:00;41448.7236216996
10/31/2017;13:00:00;37848.7202022423
10/31/2017;14:00:00;34248.6843315569
10/31/2017;15:00:00;30648.7086787433
10/31/2017;16:00:00;27048.7229427872
10/31/2017;17:00:00;23448.7134484918
10/31/2017;18:00:00;19848.7008926997
10/31/2017;19:00:00;16248.7353469507
10/31/2017;20:00:00;12648.6936922924
10/31/2017;21:00:00;9048.67619763498
10/31/2017;22:00:00;5448.73166379834
10/31/2017;23:00:00;1849.14360439202
11/01/2017;00:00:00;83208.8643638268
11/01/2017;01:00:00;81049.642017701
11/01/2017;02:00:00;77449.7621420075
11/01/2017;03:00:00;73849.7033614577
11/01/2017;04:00:00;70249.4941382051
11/01/2017;05:00:00;66649.7389095725
11/01/2017;06:00:00;63049.7145106589
11/01/2017;07:00:00;59449.754349078
11/01/2017;08:00:00;55849.7346073726
11/01/2017;09:00:00;52249.7162526002
11/01/2017;10:00:00;48649.7412449371
11/01/2017;11:00:00;45049.2865045468
11/01/2017;12:00:00;41449.1991481131
11/01/2017;13:00:00;37849.7557343062
11/01/2017;14:00:00;34249.737936354
11/01/2017;15:00:00;30649.7300017646
11/01/2017;16:00:00;27049.6961325413
11/01/2017;17:00:00;23448.7387006085
11/01/2017;18:00:00;19849.3668939313
11/01/2017;19:00:00;16249.7268959251
11/01/2017;20:00:00;12649.7576526379
11/01/2017;21:00:00;9049.42730032911
11/01/2017;22:00:00;5449.00798215904
11/01/2017;23:00:00;1849.52539273936
11/02/2017;00:00:00;83207.1461355527
11/02/2017;01:00:00;81049.7239056684
11/02/2017;02:00:00;77449.7467347064
11/02/2017;03:00:00;73849.5136908598
11/02/2017;04:00:00;70248.8145021866
11/02/2017;05:00:00;66648.7651790157
11/02/2017;06:00:00;63049.1938152526
11/02/2017;07:00:00;59448.744247303
11/02/2017;08:00:00;55849.4535901605
11/02/2017;09:00:00;52249.7073816494
11/02/2017;10:00:00;48649.9138550288
11/02/2017;11:00:00;45051.9609688644
11/02/2017;12:00:00;41451.3110115148
11/02/2017;13:00:00;37854.5835706127
11/02/2017;14:00:00;34277.8471586712
11/02/2017;15:00:00;30678.6919837761
11/02/2017;16:00:00;27078.7300693661
11/02/2017;17:00:00;23472.9732559728
11/02/2017;18:00:00;19878.6976433393
11/02/2017;19:00:00;16278.7317057425
11/02/2017;20:00:00;12669.9510973447
11/02/2017;21:00:00;9078.69096897777
11/02/2017;22:00:00;5478.81043896043
11/02/2017;23:00:00;1878.85514914299
11/03/2017;00:00:00;82517.5080988549
11/03/2017;01:00:00;81078.7115063788
11/03/2017;02:00:00;77479.2635819729
11/03/2017;03:00:00;73878.9325361494
11/03/2017;04:00:00;70278.7014592817
11/03/2017;05:00:00;66678.7307628749
11/03/2017;06:00:00;63078.7480773925
11/03/2017;07:00:00;59478.7044746685
11/03/2017;08:00:00;55878.7424347132
11/03/2017;09:00:00;52278.736522528
11/03/2017;10:00:00;48678.7142010661
11/03/2017;11:00:00;45078.7471937329
11/03/2017;12:00:00;41478.7358971252
11/03/2017;13:00:00;37878.709440287
11/03/2017;14:00:00;34278.7359055849
11/03/2017;15:00:00;30678.7432525918
11/03/2017;16:00:00;27078.7383442644
11/03/2017;17:00:00;23478.7164198005
11/03/2017;18:00:00;19878.7449173544
11/03/2017;19:00:00;16278.7376966418
11/03/2017;20:00:00;12678.7416463157
11/03/2017;21:00:00;9079.23798642946
11/03/2017;22:00:00;5479.62262074798
11/03/2017;23:00:00;1879.57139206456
11/04/2017;00:00:00;82519.062961147
11/04/2017;01:00:00;81079.7512262653
11/04/2017;02:00:00;77479.5356878169
11/04/2017;03:00:00;73879.1673981404
11/04/2017;04:00:00;70279.7046419656
11/04/2017;05:00:00;66679.7101534343
11/04/2017;06:00:00;63079.1962638744
11/04/2017;07:00:00;59479.4136559771
11/04/2017;08:00:00;55879.1561255008
11/04/2017;09:00:00;52279.7344656959
11/04/2017;10:00:00;48679.7391858876
11/04/2017;11:00:00;45079.7488536229
11/04/2017;12:00:00;41479.7594195529
11/04/2017;13:00:00;37879.7756606779
11/04/2017;14:00:00;34279.6482698434
11/04/2017;15:00:00;30678.8147917636
11/04/2017;16:00:00;27079.6651697525
11/04/2017;17:00:00;23479.7434270595
11/04/2017;18:00:00;19879.3546021898
11/04/2017;19:00:00;16279.0550992546
11/04/2017;20:00:00;12679.0281062831
11/04/2017;21:00:00;9079.51776174425
11/04/2017;22:00:00;5479.34382714322
11/04/2017;23:00:00;1879.76416042048
11/05/2017;00:00:00;82519.5202363455
11/05/2017;01:00:00;81079.4040722586
11/05/2017;02:00:00;77478.7138777005
11/05/2017;03:00:00;73878.8036786609
11/05/2017;04:00:00;70279.2298409613
11/05/2017;05:00:00;66678.7220917092
11/05/2017;06:00:00;63078.7269725668
11/05/2017;07:00:00;59478.7965703825
11/05/2017;08:00:00;55879.0691495279
11/05/2017;09:00:00;52279.2182038957
11/05/2017;10:00:00;48679.5499400462
11/05/2017;11:00:00;45078.8596946773
11/05/2017;12:00:00;41479.2441641537
11/05/2017;13:00:00;37878.7172174259
11/05/2017;14:00:00;34278.9797390003
11/05/2017;15:00:00;30678.722965774
11/05/2017;16:00:00;27079.033778081
11/05/2017;17:00:00;23478.744246571
11/05/2017;18:00:00;19878.761179729
11/05/2017;19:00:00;16278.7769280091
11/05/2017;20:00:00;12678.7063952501
11/05/2017;21:00:00;9078.827929735
11/05/2017;22:00:00;5478.71495919109
11/05/2017;23:00:00;1878.75401862876
11/06/2017;00:00:00;82517.8392017921
11/06/2017;01:00:00;81078.7448846486
11/06/2017;02:00:00;77478.7541435773
11/06/2017;03:00:00;73878.7621547598
11/06/2017;04:00:00;70278.7769707644
11/06/2017;05:00:00;66678.7011289124
11/06/2017;06:00:00;63078.7012020864
11/06/2017;07:00:00;59478.7411127951
11/06/2017;08:00:00;55878.702458319
11/06/2017;09:00:00;52278.6938115812
11/06/2017;10:00:00;48678.7108598317
11/06/2017;11:00:00;45078.7268414848
11/06/2017;12:00:00;41478.7392624237
11/06/2017;13:00:00;37878.7302268928
11/06/2017;14:00:00;34278.7291734174
11/06/2017;15:00:00;30678.7257225092
11/06/2017;16:00:00;27079.1899606869
11/06/2017;17:00:00;23479.6755330094
11/06/2017;18:00:00;19879.7680221084
11/06/2017;19:00:00;16279.4256507907
11/06/2017;20:00:00;12679.7300608509
11/06/2017;21:00:00;9079.76971836928
11/06/2017;22:00:00;5479.50805227252
11/06/2017;23:00:00;1879.73472367832
11/07/2017;00:00:00;82518.406416717
11/07/2017;01:00:00;81079.7359741788
11/07/2017;02:00:00;77479.7211862464
11/07/2017;03:00:00;73879.7385414267
11/07/2017;04:00:00;70279.7695245017
11/07/2017;05:00:00;66679.2499746349
11/07/2017;06:00:00;63079.4521459559
11/07/2017;07:00:00;59479.5827992514
11/07/2017;08:00:00;55879.0861869141
11/07/2017;09:00:00;52279.7397607933
11/07/2017;10:00:00;48679.4038645145
11/07/2017;11:00:00;45079.6355302073
11/07/2017;12:00:00;41479.7119708413
11/07/2017;13:00:00;37879.285772236
11/07/2017;14:00:00;34279.5849928368
11/07/2017;15:00:00;30679.7186541708
11/07/2017;16:00:00;27079.743060127
11/07/2017;17:00:00;23479.4958863863
11/07/2017;18:00:00;19878.7970830499
11/07/2017;19:00:00;16279.7481374466
11/07/2017;20:00:00;12679.1998759267
11/07/2017;21:00:00;9079.60961525346
