DATE;TIME;TI0250.PV
10/31/2017;00:00:00;142.630408067929
10/31/2017;01:00:00;142.881115219491
10/31/2017;02:00:00;143.04598027131
10/31/2017;03:00:00;142.94069590296
10/31/2017;04:00:00;142.754594860613
10/31/2017;05:00:00;143.12299317555
10/31/2017;06:00:00;142.729189329518
10/31/2017;07:00:00;142.757696694826
10/31/2017;08:00:00;142.944873521229
10/31/2017;09:00:00;142.797921599154
10/31/2017;10:00:00;142.926528335644
10/31/2017;11:00:00;143.18020660372
10/31/2017;12:00:00;143.017714082743
10/31/2017;13:00:00;142.983189729939
10/31/2017;14:00:00;143.123207228365
10/31/2017;15:00:00;143.058982134949
10/31/2017;16:00:00;143.013517597823
10/31/2017;17:00:00;141.885929631858
10/31/2017;18:00:00;143.03396989533
10/31/2017;19:00:00;142.347534314512
10/31/2017;20:00:00;141.952727409028
10/31/2017;21:00:00;141.645901436188
10/31/2017;22:00:00;142.000139534347
10/31/2017;23:00:00;142.025840278252
11/01/2017;00:00:00;142.159722045784
11/01/2017;01:00:00;142.16125927321
11/01/2017;02:00:00;142.581206131603
11/01/2017;03:00:00;142.385908897767
11/01/2017;04:00:00;142.389742733473
11/01/2017;05:00:00;142.332882544662
11/01/2017;06:00:00;142.082085178666
11/01/2017;07:00:00;142.658735483624
11/01/2017;08:00:00;142.649111925546
11/01/2017;09:00:00;142.280067562662
11/01/2017;10:00:00;142.395428760489
11/01/2017;11:00:00;142.089601475303
11/01/2017;12:00:00;142.149438250601
11/01/2017;13:00:00;142.03084065826
11/01/2017;14:00:00;142.314861273776
11/01/2017;15:00:00;142.36821370754
11/01/2017;16:00:00;142.063462795404
11/01/2017;17:00:00;142.031042318072
11/01/2017;18:00:00;142.154941463622
11/01/2017;19:00:00;142.031811064894
11/01/2017;20:00:00;142.027368233014
11/01/2017;21:00:00;141.98695055379
11/01/2017;22:00:00;142.451117384586
11/01/2017;23:00:00;142.527491321494
11/02/2017;00:00:00;142.471109237196
11/02/2017;01:00:00;142.720196916228
11/02/2017;02:00:00;142.380651321723
11/02/2017;03:00:00;142.613473026607
11/02/2017;04:00:00;142.292357128644
11/02/2017;05:00:00;142.260022783596
11/02/2017;06:00:00;142.031803029245
11/02/2017;07:00:00;142.269868796468
11/02/2017;08:00:00;142.153770758327
11/02/2017;09:00:00;141.722298190681
11/02/2017;10:00:00;141.811163416427
11/02/2017;11:00:00;141.821658913998
11/02/2017;12:00:00;142.24762611619
11/02/2017;13:00:00;142.400479436288
11/02/2017;14:00:00;142.327512379261
11/02/2017;15:00:00;142.546976448983
11/02/2017;16:00:00;142.244732214898
11/02/2017;17:00:00;142.667088511069
11/02/2017;18:00:00;143.261404341518
11/02/2017;19:00:00;142.840821140487
11/02/2017;20:00:00;142.746949526701
11/02/2017;21:00:00;142.845416875245
11/02/2017;22:00:00;143.013191268143
11/02/2017;23:00:00;142.699171054252
11/03/2017;00:00:00;142.953254705569
11/03/2017;01:00:00;142.658534344343
11/03/2017;02:00:00;143.158132811819
11/03/2017;03:00:00;142.589515236888
11/03/2017;04:00:00;142.763899046381
11/03/2017;05:00:00;143.227360927959
11/03/2017;06:00:00;143.512214870332
11/03/2017;07:00:00;143.511258126701
11/03/2017;08:00:00;143.66582583393
11/03/2017;09:00:00;143.516806061092
11/03/2017;10:00:00;143.629586145711
11/03/2017;11:00:00;143.336657133307
11/03/2017;12:00:00;143.856949942588
11/03/2017;13:00:00;143.817236400863
11/03/2017;14:00:00;143.677352712396
11/03/2017;15:00:00;143.822742059415
